val,err
2.61E-04,5.93E-06
3.24E-04,7.33E-06
4.22E-04,8.84E-06
5.43E-04,1.14E-05
6.96E-04,1.50E-05
8.80E-04,1.97E-05
1.09E-03,2.44E-05
1.36E-03,3.31E-05
1.67E-03,3.97E-05
2.09E-03,4.84E-05
2.58E-03,5.98E-05
3.15E-03,7.64E-05
3.86E-03,1.01E-04
4.66E-03,1.35E-04
5.64E-03,1.70E-04
6.81E-03,2.17E-04
8.21E-03,2.67E-04
9.82E-03,3.12E-04
1.19E-02,3.71E-04
1.44E-02,4.49E-04
1.74E-02,5.84E-04
2.10E-02,7.60E-04
2.51E-02,9.70E-04
3.01E-02,1.13E-03
3.61E-02,1.38E-03
4.37E-02,1.62E-03
5.33E-02,1.82E-03
6.50E-02,2.15E-03
7.87E-02,2.66E-03
9.78E-02,3.74E-03
1.21E-01,4.81E-03
1.50E-01,6.28E-03
1.84E-01,8.02E-03
2.25E-01,1.02E-02
2.74E-01,1.32E-02
3.33E-01,1.72E-02
4.07E-01,2.17E-02
4.77E-01,2.75E-02
5.71E-01,3.54E-02
6.91E-01,4.41E-02
8.61E-01,5.01E-02
1.10E+00,6.41E-02
1.37E+00,8.32E-02
1.67E+00,1.05E-01
2.07E+00,1.32E-01
2.56E+00,1.65E-01
3.17E+00,1.98E-01
2.29E+00,2.50E-01
1.22E-01,3.54E-01
-1.76E-01,4.46E-01
-2.10E-01,5.13E-01
-2.18E-01,5.62E-01
-4.31E-01,6.60E-01
-6.36E-01,7.63E-01
-6.73E-01,9.00E-01
-1.24E+00,1.22E+00
1.29E+00,1.96E+00
-1.38E+00,2.85E+00
-1.03E+01,1.22E+01
3.16E+00,6.75E+00
4.01E+01,4.16E+01
-6.58E+00,8.13E+00
-4.42E+01,3.55E+01
